가
각
간
감
갑
값
갓
강
개
객
갬
갭
갱
갹
걍
걔
거
건
걸
검
겁
것
겉
게
겐
겔
겨
격
견
결
겸
경
곁
계
고
곡
골
곰
곳
공
곶
과
곽
관
괌
괘
괴
굉
구
국
군
굴
굽
굿
궁
궉
권
궐
궤
귀
규
귤
그
극
근
글
금
급
기
긱
긴
길
김
깁
깃
깐
깔
깡
깨
깩
깽
껌
꼭
꼴
꽃
꾀
꽉
꾹
꾼
꿀
꿈
꿍
꿩
뀨
끅
끈
끌
끗
끙
끝
끼
끽
낑
나
낙
난
남
날
납
낫
낭
낮
낯
냥
내
너
넉
넋
널
네
넷
노
녹
논
놀
놈
놉
놋
농
누
눈
눌
눙
뉘
늘
능
늪
니
님
닢
다
단
달
닭
담
답
당
닻
대
댁
댐
댕
더
덕
덤
덫
데
덱
뎅
도
독
돈
돌
돔
동
돛
둑
둘
뒤
득
들
듯
등
따
딱
딸
땀
땅
때
땜
땡
떼
뗑
또
똥
뜰
뜸
뜻
띠
띵
라
랑
램
략
량
럭
런
럼
렘
로
록
론
롤
루
룩
룬
룰
룸
룹
류
륵
를
리
릭
린
릴
림
립
링
마
막
만
말
맘
맛
망
매
맥
먹
멋
멍
메
멱
면
명
몇
모
목
몫
몰
못
몽
뫼
무
묵
문
물
뭇
뭍
뮤
뮬
미
민
밀
밈
및
밑
바
박
밖
반
발
밤
밥
방
밭
배
백
밴
뱀
뱅
벌
범
벗
베
벤
벨
벼
벽
변
별
볏
병
볕
보
복
본
볼
봄
봇
봉
뵘
뵐
부
북
불
붐
붓
붕
붴
비
빅
빈
빔
빗
빙
빚
빛
빵
뺨
뼈
뼘
뽐
뽕
뿐
뿔
삐
삑
삥
사
삭
삯
산
살
삵
삶
삼
삽
상
샅
새
색
샘
생
세
셀
셈
셉
셋
서
석
선
설
섬
성
섶
소
속
솔
솜
솥
쇠
쇤
수
숙
순
술
숨
숲
숯
쉭
쉰
슈
슛
슬
승
시
식
신
심
십
싹
쌀
쌈
쌍
쌕
쌤
쌩
썩
썰
쏙
쏴
쑥
쓰
쓱
씨
씩
씹
씽
아
악
안
알
앎
암
앗
앙
애
야
약
얀
얍
얏
양
얘
어
억
얼
업
엇
엉
에
엑
엔
여
역
연
열
염
엽
엿
영
옆
예
옛
오
옥
온
올
옴
옷
옻
왕
왜
외
요
욕
욥
용
우
운
울
워
웍
원
월
웜
웩
위
윙
유
육
윤
율
윷
으
윽
은
을
음
읍
응
의
읭
이
인
일
임
입
잇
잉
잎
자
작
잔
잘
잠
잣
장
재
잭
잼
잽
쟁
쟤
저
적
전
절
점
젓
정
젖
제
조
족
존
졸
좀
종
좆
죄
죈
주
죽
줄
줌
중
쥐
즉
즘
즙
지
직
진
질
짐
집
짓
징
짚
짝
짬
짱
짹
쩍
쩡
쪽
쫙
쭉
찌
찍
찜
찡
차
찬
참
창
채
책
처
척
천
철
첨
첩
첫
청
체
쳇
초
촉
촌
총
최
추
축
춘
충
춤
취
치
칠
칡
칫
칡
침
칭
카
칵
칸
칼
캑
캔
캠
캡
캥
캭
컁
커
컥
컨
컬
컴
컵
컷
켜
코
콕
콘
콜
콤
콩
콱
쾅
쾌
쿡
쿵
퀄
퀑
키
킥
킨
킬
킵
킹
타
탁
탄
탑
탕
탈
태
탬
탭
탱
터
턱
턴
텅
털
테
텐
템
토
톡
톤
톨
톱
톳
통
투
툭
툰
툴
퉁
퉤
튈
튐
틀
틈
티
틱
틴
팀
팁
파
팍
판
팔
팜
팝
팥
패
팩
팬
퍼
퍽
펀
펄
펜
펨
편
평
폐
포
폭
폰
폴
폼
폽
퐁
푄
푸
푹
푼
풀
품
풍
피
픽
핀
필
핑
하
학
한
할
함
합
항
해
핵
햄
행
햐
향
허
헉
헌
헐
험
헬
혀
혁
현
혈
협
형
혜
호
혹
혼
홀
홈
홉
홍
화
확
환
활
황
홰
회
효
후
훅
훈
휘
휙
휠
휴
흉
흑
흙
흠
흥
희
히
힐
힘
힝
